ai_enabled,car_dirpath,car_id,car_make,car_model,car_name,car_name_abbreviated,car_types,car_weight,categories,created,first_sale,forum_url,free_with_subscription,has_headlights,has_multiple_dry_tire_types,has_rain_capable_tire_types,hp,price,price_display,rain_enabled,retired,search_filters,site_url
FALSE,dirtministock,193,,Dirt Mini Stock,Dirt Mini Stock,DMNST,"mini,oval,rookie,stock",2350,oval,2024-08-12T13:32:45Z,2024-09-04T00:00:00Z,https://forums.iracing.com/categories/dirt-mini-stock,TRUE,FALSE,FALSE,FALSE,200,0,$0.00 ,FALSE,FALSE,"oval,stock,mini,rookie",
FALSE,dirtmicrosprint\nonwinged\outlaw,183,,Non-Winged,Dirt Outlaw Micro Sprint Car - Non-Winged,MSCONW,"dirt,dirtoval,sprintcar",755,dirt_oval,2024-03-20T09:57:56Z,2024-04-02T00:00:00Z,https://forums.iracing.com/categories/dirt-micro-sprint-car-winged-non-winged,TRUE,FALSE,FALSE,FALSE,167,0,$0.00 ,FALSE,FALSE,"dirt,dirtoval,sprintcar",
FALSE,dirtmicrosprint\winged\outlaw,182,,Winged,Dirt Outlaw Micro Sprint Car - Winged,MSCOW,"dirt,dirtoval,sprintcar",780,dirt_oval,2024-03-20T09:56:19Z,2024-04-02T00:00:00Z,https://forums.iracing.com/categories/dirt-micro-sprint-car-winged-non-winged,TRUE,FALSE,FALSE,FALSE,167,0,$0.00 ,FALSE,FALSE,"dirt,dirtoval,sprintcar",
FALSE,dirtsprint\winged\305,80,Dirt Sprint Car,305,Dirt Sprint Car - 305,DSC305,"dirt,dirtoval,wingedsprintcar",1550,dirt_oval,2016-10-03T14:28:04Z,2017-03-28T00:00:00Z,https://forums.iracing.com/categories/305-winged-sprint-car,FALSE,FALSE,FALSE,FALSE,458,11.95,$11.95 ,FALSE,FALSE,"dirt,dirtoval,wingedsprintcar",http://www.iracing.com
FALSE,dirtsprint\winged\360,85,Dirt Sprint Car,360,Dirt Sprint Car - 360,DSC360,"dirt,dirtoval,wingedsprintcar",1500,dirt_oval,2016-11-08T14:07:20Z,2017-03-28T00:00:00Z,https://forums.iracing.com/categories/360-winged-sprint-car,FALSE,FALSE,FALSE,FALSE,720,11.95,$11.95 ,FALSE,FALSE,"dirt,dirtoval,wingedsprintcar",http://www.iracing.com
FALSE,dirtsprint\nonwinged\360,87,Dirt Sprint Car,360 Non-Winged,Dirt Sprint Car - 360 Non-Winged,DS360NW,"dirt,dirtoval,sprintcar",1375,dirt_oval,2016-11-08T14:10:46Z,2017-04-21T00:00:00Z,https://forums.iracing.com/categories/360-non-winged-sprint-car,FALSE,FALSE,FALSE,FALSE,720,11.95,$11.95 ,FALSE,FALSE,"dirt,dirtoval,sprintcar",http://www.iracing.com
FALSE,dirtsprint\winged\410,86,Dirt Sprint Car,410,Dirt Sprint Car - 410,DSC410,"dirt,dirtoval,wingedsprintcar",1400,dirt_oval,2016-11-08T14:09:15Z,2017-03-28T00:00:00Z,https://forums.iracing.com/categories/410-winged-sprint-car,FALSE,FALSE,FALSE,FALSE,892,11.95,$11.95 ,FALSE,FALSE,"dirt,dirtoval,wingedsprintcar",http://www.iracing.com
FALSE,dirtsprint\nonwinged\410,89,Dirt Sprint Car,410 Non-Winged,Dirt Sprint Car - 410 Non-Winged,DS410NW,"dirt,dirtoval,sprintcar",1475,dirt_oval,2017-01-18T13:13:16Z,2017-04-21T00:00:00Z,https://forums.iracing.com/categories/410-non-winged-sprint-car,FALSE,FALSE,FALSE,FALSE,821,11.95,$11.95 ,FALSE,FALSE,"dirt,dirtoval,sprintcar",http://www.iracing.com
FALSE,dirtstreetstock,79,,,Dirt Street Stock,SSD,"dirt,dirtoval",3075,dirt_oval,2016-10-03T14:26:41Z,2017-03-28T00:00:00Z,https://forums.iracing.com/categories/dirt-street-stock,TRUE,FALSE,FALSE,FALSE,425,0,$0.00 ,FALSE,FALSE,"dirt,dirtoval",http://www.iracing.com
FALSE,dirtumpmod,95,Dirt UMP Modified,UMP Modified,Dirt UMP Modified,UMP,"dirt,dirtoval",2400,dirt_oval,2017-08-10T14:12:09Z,2017-09-05T00:00:00Z,https://forums.iracing.com/categories/dirt-ump-modified,TRUE,FALSE,FALSE,FALSE,750,0,$0.00 ,FALSE,FALSE,"dirt,dirtoval",http://www.iracing.com
TRUE,ferrari296challenge,203,Ferrari,296 Challenge,Ferrari 296 Challenge,F296C,"challenge,road,sportscar",3075,sports_car,2025-01-16T13:31:29Z,2025-06-10T00:00:00Z,https://forums.iracing.com/categories/ferrari-296-challenge,FALSE,TRUE,FALSE,TRUE,690,11.95,$11.95 ,TRUE,FALSE,"road,sportscar,challenge",
TRUE,ferrari296gt3,173,Ferrari,Ferrari 296 GT3,Ferrari 296 GT3,F296,"gt3,road,sportscar",2978,sports_car,2023-06-16T13:56:17Z,2023-09-06T00:00:00Z,https://forums.iracing.com/categories/Ferrari296GT3,FALSE,TRUE,FALSE,TRUE,524,11.95,$11.95 ,TRUE,FALSE,"road,sportscar,gt3",
TRUE,ferrarievogt3,144,Ferrari,Evo GT3,Ferrari 488 GT3 Evo 2020,FEVO,"gt3,gtd,road,sportscar",2772,sports_car,2021-07-13T15:55:53Z,2021-09-07T00:00:00Z,https://forums.iracing.com/categories/gt3,FALSE,TRUE,FALSE,TRUE,600,11.95,$11.95 ,FALSE,FALSE,"road,sportscar,gt3,gtd",http://races.ferrari.com/en/
TRUE,ferrari488gte,93,Ferrari,488 GTE,Ferrari 488 GTE,488E,"gte,gtlm,road,sportscar",2778,sports_car,2017-05-16T15:47:54Z,2017-06-06T00:00:00Z,https://forums.iracing.com/categories/gte,FALSE,TRUE,FALSE,FALSE,490,11.95,$11.95 ,FALSE,FALSE,"road,sportscar,gte,gtlm",http://races.ferrari.com/en/
