track_id,track_name,track_type,track_type_text,track_types,ai_enabled,category,category_id,config_name,corners_per_lap,created,first_sale,folder,free_with_subscription,fully_lit,grid_stalls,has_opt_path,has_short_parade_lap,has_start_zone,is_dirt,is_oval,latitude,location,logo,longitude,max_cars,night_lighting,nominal_lap_time,number_pitstalls,opens,package_id,pit_road_speed_limit,price,price_display,rain_enabled,search_filters,site_url,sku,small_image,solo_laps,time_zone,track_config_length,track_dirpath
396,Bark River International Raceway,6,Dirt Road Course,[{'track_type': 'dirt_road'}],FALSE,dirt_road,4,,11,2021-02-11T15:40:25Z,2021-03-09T00:00:00Z,/img/tracks/barkriverinternationalraceway,FALSE,FALSE,60,FALSE,FALSE,FALSE,TRUE,FALSE,45.693396,"Bark River, Michigan, USA",/img/logos/tracks/barkriverinternationalraceway-logo.png,-87.30658,60,FALSE,87.86,11,4/1/2021,351,30,14.95,$14.95 ,FALSE,"dirt,dirtroad",https://www.barkriveroffroad.com/,10499,barkriverinternationalraceway-small.jpg,10,America/Detroit,1.5,barkriver
145,Brands Hatch Circuit,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,Grand Prix,9,2009-12-02T14:55:12Z,2009-12-16T00:00:00Z,/img/tracks/brandshatchcircuit,FALSE,FALSE,62,FALSE,TRUE,FALSE,FALSE,FALSE,51.3581048,"Fawkham, Kent, England",/img/logos/tracks/brandshatchcircuit-logo.png,0.2536338,61,FALSE,90.65,31,3/1/2022,91,45,14.95,$14.95 ,TRUE,road,http://www.motorsportvision.co.uk/brands-hatch/,10192,brandshatchcircuit-small.jpg,5,Europe/London,2.301,brandshatch\grandprix
146,Brands Hatch Circuit,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,Indy,6,2009-12-02T14:56:42Z,2009-12-16T00:00:00Z,/img/tracks/brandshatchcircuit,FALSE,FALSE,62,FALSE,TRUE,FALSE,FALSE,FALSE,51.3581048,"Fawkham, Kent, England",/img/logos/tracks/brandshatchcircuit-logo.png,0.2536338,61,FALSE,48.74,31,3/1/2022,91,45,14.95,$14.95 ,TRUE,road,http://www.motorsportvision.co.uk/brands-hatch/,10192,brandshatchcircuit-small.jpg,6,Europe/London,1.198,brandshatch\indy
290,Brands Hatch Circuit,6,Dirt Road Course,[{'track_type': 'dirt_road'}],FALSE,dirt_road,4,Rallycross,6,2017-06-28T10:27:45Z,2020-12-08T00:00:00Z,/img/tracks/brandshatchcircuit,FALSE,FALSE,16,TRUE,FALSE,FALSE,TRUE,FALSE,51.3581048,"Fawkham, Kent, England",/img/logos/tracks/brandshatchcircuit-logo.png,0.2536338,16,FALSE,78.76,16,3/1/2022,91,,14.95,$14.95 ,FALSE,"dirt,dirtroad",http://www.motorsportvision.co.uk/brands-hatch/,10192,brandshatchcircuit-small.jpg,10,Europe/London,1.21,brandshatch\rallycross
101,Bristol Motor Speedway,0,Short Oval,[{'track_type': 'oval'}],TRUE,oval,1,Dual Pit Roads,4,2008-07-18T09:53:44Z,2008-06-24T00:00:00Z,/img/tracks/bristolmotorspeedway,FALSE,TRUE,60,FALSE,FALSE,TRUE,FALSE,TRUE,36.515694,"Bristol, Tennessee, USA",/img/logos/tracks/bristolmotorspeedway-logo.png,-82.2591607,64,TRUE,16.79,43,3/1/2018,43,30,14.95,$14.95 ,FALSE,"oval,bms",http://www.bristolmotorspeedway.com/,10055,bristolmotorspeedway-small.jpg,10,America/New_York,0.533,bristol
287,Bristol Motor Speedway,7,Dirt Oval Course,[{'track_type': 'dirt_oval'}],FALSE,dirt_oval,3,Dirt - 2021,4,2017-06-08T09:09:10Z,2021-03-09T00:00:00Z,/img/tracks/bristolmotorspeedway,FALSE,TRUE,43,FALSE,FALSE,FALSE,TRUE,TRUE,36.515694,"Bristol, Tennessee, USA",/img/logos/tracks/bristolmotorspeedway-logo.png,-82.2591607,64,TRUE,23.46,43,3/1/2018,43,35,14.95,$14.95 ,FALSE,"dirt,dirtoval,bms",http://www.bristolmotorspeedway.com/,10055,bristolmotorspeedway-small.jpg,10,America/New_York,0.533,bristol\dirt
365,Bristol Motor Speedway,0,Short Oval,[{'track_type': 'oval'}],TRUE,oval,1,Single Pit Roads,4,2020-02-25T15:08:46Z,2020-03-26T00:00:00Z,/img/tracks/bristolmotorspeedway,FALSE,TRUE,60,FALSE,FALSE,TRUE,FALSE,TRUE,36.515694,"Bristol, Tennessee, USA",/img/logos/tracks/bristolmotorspeedway-logo.png,-82.2591607,64,TRUE,16.79,43,3/1/2020,43,35,14.95,$14.95 ,FALSE,"oval,bms",http://www.bristolmotorspeedway.com/,10055,bristolmotorspeedway-small.jpg,10,America/New_York,0.533,bristol\fullpit
442,Bristol Motor Speedway,7,Dirt Oval Course,[{'track_type': 'dirt_oval'}],FALSE,dirt_oval,3,Dirt,4,2022-03-23T16:19:40Z,2022-04-06T00:00:00Z,/img/tracks/bristolmotorspeedway,FALSE,TRUE,60,FALSE,FALSE,TRUE,TRUE,TRUE,36.515694,"Bristol, Tennessee, USA",/img/logos/tracks/bristolmotorspeedway-logo.png,-82.2591607,60,TRUE,23.5,43,3/1/2022,43,35,14.95,$14.95 ,FALSE,"dirt,dirtoval,bms",http://www.bristolmotorspeedway.com/,10055,bristolmotorspeedway-small.jpg,10,America/New_York,0.533,bristol\dirt\2022
529,Cadwell Park Circuit,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,Moto,19,2024-07-19T10:21:51Z,2024-09-04T16:18:12Z,/img/tracks/cadwell,FALSE,FALSE,60,FALSE,TRUE,FALSE,FALSE,FALSE,53.310274,"Louth, Lincolnshire, England",/img/logos/tracks/cadwell-logo.png,-0.059399,60,FALSE,91.39,6,3/1/2024,494,31,14.95,$14.95 ,TRUE,road,https://www.cadwellpark.co.uk/,10588,cadwell-small.jpg,5,Europe/London,2.18,cadwell\moto
527,Cadwell Park Circuit,5,Road Course,[{'track_type': 'road'}],TRUE,road,2,Full,18,2024-07-19T10:10:51Z,2024-09-04T16:18:12Z,/img/tracks/cadwell,FALSE,FALSE,60,FALSE,TRUE,FALSE,FALSE,FALSE,53.310274,"Louth, Lincolnshire, England",/img/logos/tracks/cadwell-logo.png,-0.059399,60,FALSE,87.89,6,3/1/2024,494,31,14.95,$14.95 ,TRUE,road,https://www.cadwellpark.co.uk/,10588,cadwell-small.jpg,5,Europe/London,2.17,cadwell\full
